Starting benchmark...
Initializing database schema...
Populating classes...
Populating posts... with 10000
Migration 80 took 0.06s!
Migration 81 took 0.05s!
Migration 82 took 0.05s!
Migration 83 took 0.05s!
Migration 84 took 0.06s!
Migration 85 took 0.07s!
Migration 86 took 0.06s!
Migration 87 took 0.07s!
Migration 88 took 0.05s!
Migration 89 took 0.05s!
Migration 90 took 0.06s!
Migration 91 took 0.06s!
Migration 92 took 0.05s!
Migration 93 took 0.06s!
Migration 94 took 0.05s!
Migration 95 took 0.05s!
Migration 96 took 0.05s!
Migration 97 took 0.05s!
Migration 98 took 0.05s!
Migration 99 took 0.06s!
Migration 100 took 0.05s!
Migration 101 took 0.05s!
Migration 102 took 0.05s!
Migration 103 took 0.06s!
Migration 104 took 0.05s!
Migration 105 took 0.06s!
Migration 106 took 0.05s!
Migration 107 took 0.05s!
Migration 108 took 0.05s!
Migration 109 took 0.05s!
Migration 110 took 0.06s!
Migration 111 took 0.05s!
Migration 112 took 0.05s!
Migration 113 took 0.06s!
Migration 114 took 0.06s!
Migration 115 took 0.05s!
Migration 116 took 0.05s!
Migration 117 took 0.05s!
Migration 118 took 0.05s!
Migration 119 took 0.05s!
Migration 120 took 0.05s!
Migration 121 took 0.06s!
Migration 122 took 0.05s!
Migration 123 took 0.05s!
Migration 124 took 0.06s!
Migration 125 took 0.06s!
Migration 126 took 0.05s!
Migration 127 took 0.06s!
Migration 128 took 0.06s!
Migration 129 took 0.06s!
Migration 130 took 0.07s!
Migration 131 took 0.06s!
Migration 132 took 0.06s!
Migration 133 took 0.07s!
Migration 134 took 0.06s!
Migration 135 took 0.07s!
Migration 136 took 0.07s!
Migration 137 took 0.07s!
Migration 138 took 0.07s!
Migration 139 took 0.07s!
Migration 140 took 0.06s!
Migration 141 took 0.07s!
Migration 142 took 0.07s!
Migration 143 took 0.07s!
Migration 144 took 0.06s!
Migration 145 took 0.07s!
Migration 146 took 0.07s!
Migration 147 took 0.07s!
Migration 148 took 0.07s!
Migration 149 took 0.07s!
Migration 150 took 0.07s!
Migration 151 took 0.07s!
Migration 152 took 0.07s!
Migration 153 took 0.07s!
Migration 154 took 0.07s!
Migration 155 took 0.08s!
Migration 156 took 0.08s!
Migration 157 took 0.07s!
Migration 158 took 0.07s!
Migration 159 took 0.07s!
Migration 160 took 0.08s!
Migration 161 took 0.08s!
Migration 162 took 0.07s!
Migration 163 took 0.07s!
Migration 164 took 0.07s!
Migration 165 took 0.07s!
Migration 166 took 0.07s!
Migration 167 took 0.07s!
Migration 168 took 0.07s!
Migration 169 took 0.07s!
Migration 170 took 0.07s!
Migration 171 took 0.07s!
Migration 172 took 0.08s!
Migration 173 took 0.07s!
Migration 174 took 0.08s!
Migration 175 took 0.07s!
Migration 176 took 0.08s!
Migration 177 took 0.08s!
Migration 178 took 0.07s!
Migration 179 took 0.07s!
Migration 180 took 0.08s!
Migration 181 took 0.07s!
Migration 182 took 0.07s!
Migration 183 took 0.07s!
Migration 184 took 0.07s!
Migration 185 took 0.06s!
Migration 186 took 0.07s!
Migration 187 took 0.07s!
Migration 188 took 0.07s!
Migration 189 took 0.07s!
Migration 190 took 0.07s!
Migration 191 took 0.07s!
Migration 192 took 0.07s!
Migration 193 took 0.07s!
Migration 194 took 0.07s!
Migration 195 took 0.07s!
Migration 196 took 0.07s!
Migration 197 took 0.07s!
Migration 198 took 0.07s!
Migration 199 took 0.07s!
Migration 200 took 0.07s!
Migration 201 took 0.07s!
Migration 202 took 0.07s!
Migration 203 took 0.07s!
Migration 204 took 0.07s!
Migration 205 took 0.07s!
Migration 206 took 0.07s!
Migration 207 took 0.07s!
Migration 208 took 0.07s!
Migration 209 took 0.07s!
Migration 210 took 0.07s!
Migration 211 took 0.07s!
Migration 212 took 0.06s!
Migration 213 took 0.07s!
Migration 214 took 0.07s!
Migration 215 took 0.07s!
Migration 216 took 0.07s!
Migration 217 took 0.07s!
Migration 218 took 0.07s!
Migration 219 took 0.07s!
Migration 220 took 0.07s!
Migration 221 took 0.07s!
Migration 222 took 0.07s!
Migration 223 took 0.14s!
Migration 224 took 0.08s!
Migration 225 took 0.07s!
Migration 226 took 0.07s!
Migration 227 took 0.07s!
Migration 228 took 0.07s!
Migration 229 took 0.07s!
Migration 230 took 0.07s!
Migration 231 took 0.07s!
Migration 232 took 0.08s!
Migration 233 took 0.08s!
Migration 234 took 0.08s!
Migration 235 took 0.07s!
Migration 236 took 0.08s!
Migration 237 took 0.07s!
Migration 238 took 0.07s!
Migration 239 took 0.07s!
Migration 240 took 0.07s!
Migration 241 took 0.07s!
Migration 242 took 0.07s!
Migration 243 took 0.07s!
Migration 244 took 0.07s!
Migration 245 took 0.08s!
Migration 246 took 0.08s!
Migration 247 took 0.08s!
Migration 248 took 0.08s!
Migration 249 took 0.08s!
Migration 250 took 0.08s!
Migration 251 took 0.08s!
Migration 252 took 0.09s!
Migration 253 took 0.09s!
Migration 254 took 0.09s!
Migration 255 took 0.08s!
Migration 256 took 0.09s!
Migration 257 took 0.09s!
Migration 258 took 0.07s!
Migration 259 took 0.08s!
Migration 260 took 0.07s!
Migration 261 took 0.08s!
Migration 262 took 0.08s!
Migration 263 took 0.08s!
Migration 264 took 0.08s!
Migration 265 took 0.08s!
Migration 266 took 0.09s!
Migration 267 took 0.08s!
Migration 268 took 0.09s!
Migration 269 took 0.08s!
Migration 270 took 0.09s!
Migration 271 took 0.08s!
Migration 272 took 0.08s!
Migration 273 took 0.08s!
Migration 274 took 0.08s!
Migration 275 took 0.08s!
Migration 276 took 0.09s!
Migration 277 took 0.08s!
Migration 278 took 0.08s!
Migration 279 took 0.08s!
Migration 280 took 0.08s!
Migration 281 took 0.08s!
Migration 282 took 0.09s!
Migration 283 took 0.08s!
Migration 284 took 0.09s!
Migration 285 took 0.09s!
Migration 286 took 0.09s!
Migration 287 took 0.10s!
Migration 288 took 0.10s!
Migration 289 took 0.10s!
Migration 290 took 0.10s!
Migration 291 took 0.10s!
Migration 292 took 0.10s!
Migration 293 took 0.11s!
Migration 294 took 0.10s!
Migration 295 took 0.09s!
Migration 296 took 0.09s!
Migration 297 took 0.09s!
Migration 298 took 0.09s!
Migration 299 took 0.09s!
Migration 300 took 0.10s!
Migration 301 took 0.09s!
Migration 302 took 0.09s!
Migration 303 took 0.09s!
Migration 304 took 0.09s!
Migration 305 took 0.10s!
