Starting benchmark...
Initializing database schema...
Populating classes...
Populating posts... with 10000
Inserted 100100 Role in 0.16s (645120.66 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 0.00s (340307.83 PUTs/sec)!
Inserted 100 Class in 0.00s (100680.30 PUTs/sec)!
Inserted 10000 Post in 0.02s (540825.86 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 0.05s!
Migration 1 took 0.04s!
Migration 2 took 0.04s!
Migration 3 took 0.05s!
Migration 4 took 0.04s!
Migration 5 took 0.05s!
Migration 6 took 0.04s!
Migration 7 took 0.04s!
Migration 8 took 0.04s!
Migration 9 took 0.04s!
Migration 10 took 0.04s!
Migration 11 took 0.04s!
Migration 12 took 0.04s!
Migration 13 took 0.05s!
Migration 14 took 0.05s!
Migration 15 took 0.05s!
Migration 16 took 0.05s!
Migration 17 took 0.05s!
Migration 18 took 0.04s!
Migration 19 took 0.05s!
Migration 20 took 0.05s!
Migration 21 took 0.05s!
Migration 22 took 0.05s!
Migration 23 took 0.05s!
Migration 24 took 0.05s!
Migration 25 took 0.05s!
Migration 26 took 0.05s!
Migration 27 took 0.05s!
Migration 28 took 0.04s!
Migration 29 took 0.05s!
Migration 30 took 0.04s!
Migration 31 took 0.04s!
Migration 32 took 0.04s!
Migration 33 took 0.05s!
Migration 34 took 0.05s!
Migration 35 took 0.05s!
Migration 36 took 0.05s!
Migration 37 took 0.05s!
Migration 38 took 0.05s!
Migration 39 took 0.05s!
Migration 40 took 0.05s!
Migration 41 took 0.05s!
Migration 42 took 0.05s!
Migration 43 took 0.05s!
Migration 44 took 0.05s!
Migration 45 took 0.05s!
Migration 46 took 0.05s!
Migration 47 took 0.05s!
Migration 48 took 0.05s!
Migration 49 took 0.05s!
Migration 50 took 0.05s!
Migration 51 took 0.05s!
Migration 52 took 0.05s!
Migration 53 took 0.05s!
Migration 54 took 0.05s!
Migration 55 took 0.05s!
Migration 56 took 0.05s!
Migration 57 took 0.05s!
Migration 58 took 0.05s!
Migration 59 took 0.05s!
Migration 60 took 0.05s!
Migration 61 took 0.05s!
Migration 62 took 0.06s!
Migration 63 took 0.05s!
Migration 64 took 0.05s!
Migration 65 took 0.05s!
Migration 66 took 0.05s!
Migration 67 took 0.05s!
Migration 68 took 0.05s!
Migration 69 took 0.05s!
Migration 70 took 0.05s!
Migration 71 took 0.05s!
Migration 72 took 0.05s!
Migration 73 took 0.05s!
Migration 74 took 0.05s!
Migration 75 took 0.05s!
Migration 76 took 0.06s!
Migration 77 took 0.05s!
Migration 78 took 0.05s!
Migration 79 took 0.06s!
