Starting benchmark...
Initializing database schema...
Populating posts... with 1000
Populating classes...
Inserted 1100 Role in 1.59s (691.11 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.49s (673.30 PUTs/sec)!
Inserted 100 Class in 0.15s (682.06 PUTs/sec)!
Inserted 1000 Post in 1.35s (740.62 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 0.03s!
Migration 1 took 0.02s!
Migration 2 took 0.03s!
Migration 3 took 0.02s!
Migration 4 took 0.02s!
Migration 5 took 0.02s!
Migration 6 took 0.02s!
Migration 7 took 0.02s!
Migration 8 took 0.02s!
Migration 9 took 0.01s!
Migration 10 took 0.01s!
Migration 11 took 0.01s!
Migration 12 took 0.01s!
Migration 13 took 0.01s!
Migration 14 took 0.02s!
Migration 15 took 0.01s!
Migration 16 took 0.01s!
Migration 17 took 0.01s!
Migration 18 took 0.01s!
Migration 19 took 0.01s!
Migration 20 took 0.01s!
Migration 21 took 0.01s!
Migration 22 took 0.01s!
Migration 23 took 0.01s!
Migration 24 took 0.01s!
Migration 25 took 0.01s!
Migration 26 took 0.01s!
Migration 27 took 0.01s!
Migration 28 took 0.01s!
Migration 29 took 0.01s!
Migration 30 took 0.01s!
Migration 31 took 0.01s!
Migration 32 took 0.01s!
Migration 33 took 0.01s!
Migration 34 took 0.01s!
Migration 35 took 0.01s!
Migration 36 took 0.01s!
Migration 37 took 0.01s!
Migration 38 took 0.01s!
Migration 39 took 0.01s!
Migration 40 took 0.01s!
Migration 41 took 0.01s!
Migration 42 took 0.01s!
Migration 43 took 0.01s!
Migration 44 took 0.01s!
Migration 45 took 0.01s!
Migration 46 took 0.01s!
Migration 47 took 0.01s!
Migration 48 took 0.01s!
Migration 49 took 0.01s!
Migration 50 took 0.01s!
Migration 51 took 0.01s!
Migration 52 took 0.01s!
Migration 53 took 0.01s!
Migration 54 took 0.01s!
Migration 55 took 0.01s!
Migration 56 took 0.01s!
Migration 57 took 0.01s!
Migration 58 took 0.01s!
Migration 59 took 0.01s!
Migration 60 took 0.01s!
Migration 61 took 0.01s!
Migration 62 took 0.01s!
Migration 63 took 0.01s!
Migration 64 took 0.01s!
Migration 65 took 0.01s!
Migration 66 took 0.01s!
Migration 67 took 0.01s!
Migration 68 took 0.01s!
Migration 69 took 0.01s!
Migration 70 took 0.01s!
Migration 71 took 0.01s!
Migration 72 took 0.01s!
Migration 73 took 0.01s!
Migration 74 took 0.01s!
Migration 75 took 0.01s!
Migration 76 took 0.01s!
Migration 77 took 0.01s!
Migration 78 took 0.01s!
Migration 79 took 0.01s!
Migration 80 took 0.01s!
Migration 81 took 0.01s!
Migration 82 took 0.01s!
Migration 83 took 0.01s!
Migration 84 took 0.01s!
Migration 85 took 0.01s!
Migration 86 took 0.01s!
Migration 87 took 0.01s!
Migration 88 took 0.01s!
Migration 89 took 0.01s!
Migration 90 took 0.01s!
Migration 91 took 0.01s!
Migration 92 took 0.03s!
Migration 93 took 0.02s!
Migration 94 took 0.02s!
Migration 95 took 0.03s!
Migration 96 took 0.01s!
Migration 97 took 0.01s!
Migration 98 took 0.01s!
Migration 99 took 0.01s!
Migration 100 took 0.01s!
Migration 101 took 0.01s!
Migration 102 took 0.01s!
Migration 103 took 0.03s!
Migration 104 took 0.02s!
Migration 105 took 0.01s!
Migration 106 took 0.01s!
Migration 107 took 0.03s!
Migration 108 took 0.01s!
Migration 109 took 0.02s!
Migration 110 took 0.01s!
Migration 111 took 0.01s!
Migration 112 took 0.01s!
Migration 113 took 0.03s!
Migration 114 took 0.01s!
Migration 115 took 0.01s!
Migration 116 took 0.01s!
Migration 117 took 0.01s!
Migration 118 took 0.01s!
Migration 119 took 0.01s!
Migration 120 took 0.01s!
Migration 121 took 0.01s!
Migration 122 took 0.01s!
Migration 123 took 0.01s!
Migration 124 took 0.01s!
Migration 125 took 0.01s!
Migration 126 took 0.01s!
Migration 127 took 0.02s!
Migration 128 took 0.01s!
Migration 129 took 0.01s!
Migration 130 took 0.01s!
Migration 131 took 0.01s!
Migration 132 took 0.01s!
Migration 133 took 0.01s!
Migration 134 took 0.01s!
Migration 135 took 0.01s!
Migration 136 took 0.01s!
Migration 137 took 0.01s!
Migration 138 took 0.01s!
Migration 139 took 0.03s!
Migration 140 took 0.02s!
Migration 141 took 0.02s!
Migration 142 took 0.02s!
Migration 143 took 0.01s!
Migration 144 took 0.01s!
Migration 145 took 0.01s!
Migration 146 took 0.01s!
Migration 147 took 0.01s!
Migration 148 took 0.01s!
Migration 149 took 0.01s!
Migration 150 took 0.01s!
Migration 151 took 0.01s!
Migration 152 took 0.01s!
Migration 153 took 0.01s!
Migration 154 took 0.01s!
Migration 155 took 0.01s!
Migration 156 took 0.01s!
Migration 157 took 0.01s!
Migration 158 took 0.01s!
Migration 159 took 0.01s!
Migration 160 took 0.01s!
Migration 161 took 0.01s!
Migration 162 took 0.01s!
Migration 163 took 0.01s!
Migration 164 took 0.01s!
Migration 165 took 0.01s!
Migration 166 took 0.01s!
Migration 167 took 0.01s!
Migration 168 took 0.01s!
Migration 169 took 0.01s!
Migration 170 took 0.01s!
Migration 171 took 0.01s!
Migration 172 took 0.01s!
Migration 173 took 0.01s!
Migration 174 took 0.01s!
Migration 175 took 0.01s!
Migration 176 took 0.04s!
Migration 177 took 0.01s!
Migration 178 took 0.01s!
Migration 179 took 0.01s!
Migration 180 took 0.01s!
Migration 181 took 0.01s!
Migration 182 took 0.01s!
Migration 183 took 0.01s!
Migration 184 took 0.01s!
Migration 185 took 0.01s!
Migration 186 took 0.03s!
Migration 187 took 0.01s!
Migration 188 took 0.01s!
Migration 189 took 0.01s!
Migration 190 took 0.01s!
Migration 191 took 0.01s!
Migration 192 took 0.01s!
Migration 193 took 0.01s!
Migration 194 took 0.01s!
Migration 195 took 0.01s!
Migration 196 took 0.01s!
Migration 197 took 0.01s!
Migration 198 took 0.01s!
Migration 199 took 0.01s!
Migration 200 took 0.01s!
Migration 201 took 0.01s!
Migration 202 took 0.01s!
Migration 203 took 0.01s!
Migration 204 took 0.01s!
Migration 205 took 0.01s!
Migration 206 took 0.01s!
Migration 207 took 0.01s!
Migration 208 took 0.01s!
Migration 209 took 0.01s!
Migration 210 took 0.01s!
Migration 211 took 0.03s!
Migration 212 took 0.02s!
Migration 213 took 0.02s!
Migration 214 took 0.02s!
Migration 215 took 0.01s!
Migration 216 took 0.01s!
Migration 217 took 0.01s!
Migration 218 took 0.01s!
Migration 219 took 0.01s!
Migration 220 took 0.01s!
Migration 221 took 0.01s!
Migration 222 took 0.02s!
Migration 223 took 0.01s!
Migration 224 took 0.01s!
Migration 225 took 0.01s!
Migration 226 took 0.01s!
Migration 227 took 0.01s!
Migration 228 took 0.02s!
Migration 229 took 0.01s!
Migration 230 took 0.01s!
Migration 231 took 0.01s!
Migration 232 took 0.02s!
Migration 233 took 0.02s!
Migration 234 took 0.01s!
Migration 235 took 0.01s!
Migration 236 took 0.01s!
Migration 237 took 0.01s!
Migration 238 took 0.01s!
Migration 239 took 0.02s!
Migration 240 took 0.01s!
Migration 241 took 0.02s!
Migration 242 took 0.01s!
Migration 243 took 0.02s!
Migration 244 took 0.01s!
Migration 245 took 0.02s!
Migration 246 took 0.03s!
Migration 247 took 0.02s!
Migration 248 took 0.01s!
Migration 249 took 0.01s!
Migration 250 took 0.02s!
Migration 251 took 0.01s!
Migration 252 took 0.01s!
Migration 253 took 0.02s!
Migration 254 took 0.01s!
Migration 255 took 0.01s!
Migration 256 took 0.01s!
Migration 257 took 0.01s!
Migration 258 took 0.01s!
Migration 259 took 0.01s!
Migration 260 took 0.01s!
Migration 261 took 0.01s!
Migration 262 took 0.02s!
Migration 263 took 0.01s!
Migration 264 took 0.02s!
Migration 265 took 0.01s!
Migration 266 took 0.02s!
Migration 267 took 0.01s!
Migration 268 took 0.01s!
Migration 269 took 0.01s!
Migration 270 took 0.01s!
Migration 271 took 0.01s!
Migration 272 took 0.02s!
Migration 273 took 0.01s!
Migration 274 took 0.02s!
Migration 275 took 0.01s!
Migration 276 took 0.01s!
Migration 277 took 0.01s!
Migration 278 took 0.02s!
Migration 279 took 0.01s!
Migration 280 took 0.02s!
Migration 281 took 0.01s!
Migration 282 took 0.01s!
Migration 283 took 0.02s!
Migration 284 took 0.01s!
Migration 285 took 0.02s!
Migration 286 took 0.01s!
Migration 287 took 0.02s!
Migration 288 took 0.02s!
Migration 289 took 0.02s!
Migration 290 took 0.02s!
Migration 291 took 0.02s!
Migration 292 took 0.01s!
Migration 293 took 0.01s!
Migration 294 took 0.01s!
Migration 295 took 0.01s!
Migration 296 took 0.02s!
Migration 297 took 0.02s!
Migration 298 took 0.02s!
Migration 299 took 0.02s!
Migration 300 took 0.02s!
