Starting benchmark...
Initializing database schema...
Populating posts... with 50000
Populating classes...
Inserted 1500 Role in 2.14s (699.79 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.49s (672.33 PUTs/sec)!
Inserted 500 Class in 0.73s (688.40 PUTs/sec)!
Inserted 50000 Post in 65.10s (768.09 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 298.08s!
Migration 1 took 0.43s!
Migration 2 took 0.42s!
Migration 3 took 0.37s!
Migration 4 took 0.41s!
Migration 5 took 0.41s!
Migration 6 took 0.42s!
Migration 7 took 0.43s!
Migration 8 took 0.43s!
Migration 9 took 0.43s!
Migration 10 took 0.43s!
Migration 11 took 0.42s!
Migration 12 took 0.43s!
Migration 13 took 0.43s!
Migration 14 took 0.43s!
Migration 15 took 0.38s!
Migration 16 took 0.43s!
Migration 17 took 0.38s!
Migration 18 took 0.43s!
Migration 19 took 0.45s!
Migration 20 took 0.43s!
Migration 21 took 0.44s!
Migration 22 took 0.44s!
Migration 23 took 0.44s!
Migration 24 took 0.43s!
Migration 25 took 0.44s!
Migration 26 took 0.44s!
Migration 27 took 0.43s!
Migration 28 took 0.42s!
Migration 29 took 0.44s!
Migration 30 took 0.44s!
Migration 31 took 0.43s!
Migration 32 took 0.43s!
Migration 33 took 0.44s!
Migration 34 took 0.44s!
Migration 35 took 0.45s!
Migration 36 took 0.42s!
Migration 37 took 0.44s!
Migration 38 took 0.45s!
Migration 39 took 0.40s!
Migration 40 took 0.44s!
Migration 41 took 0.45s!
Migration 42 took 0.44s!
Migration 43 took 0.41s!
Migration 44 took 0.46s!
Migration 45 took 0.40s!
Migration 46 took 0.45s!
Migration 47 took 0.45s!
Migration 48 took 0.45s!
Migration 49 took 0.43s!
Migration 50 took 0.45s!
Migration 51 took 0.45s!
Migration 52 took 0.45s!
Migration 53 took 0.46s!
Migration 54 took 0.46s!
Migration 55 took 0.42s!
Migration 56 took 0.47s!
Migration 57 took 0.46s!
Migration 58 took 0.46s!
Migration 59 took 0.44s!
Migration 60 took 0.46s!
Migration 61 took 0.46s!
Migration 62 took 0.47s!
Migration 63 took 0.46s!
Migration 64 took 0.46s!
Migration 65 took 0.40s!
Migration 66 took 0.47s!
Migration 67 took 0.46s!
Migration 68 took 0.47s!
Migration 69 took 0.48s!
Migration 70 took 0.47s!
Migration 71 took 0.47s!
Migration 72 took 0.41s!
Migration 73 took 0.46s!
Migration 74 took 0.47s!
Migration 75 took 0.46s!
Migration 76 took 0.45s!
Migration 77 took 0.48s!
Migration 78 took 0.47s!
Migration 79 took 0.45s!
Migration 80 took 0.45s!
Migration 81 took 0.47s!
Migration 82 took 0.49s!
Migration 83 took 0.48s!
Migration 84 took 0.49s!
Migration 85 took 0.48s!
Migration 86 took 0.48s!
Migration 87 took 0.42s!
Migration 88 took 0.48s!
Migration 89 took 0.48s!
Migration 90 took 0.47s!
Migration 91 took 0.42s!
Migration 92 took 0.48s!
Migration 93 took 0.47s!
Migration 94 took 0.48s!
Migration 95 took 0.48s!
Migration 96 took 0.48s!
Migration 97 took 0.49s!
Migration 98 took 0.49s!
Migration 99 took 0.43s!
Migration 100 took 0.49s!
Migration 101 took 0.48s!
Migration 102 took 0.48s!
Migration 103 took 0.49s!
Migration 104 took 0.49s!
Migration 105 took 0.49s!
Migration 106 took 0.49s!
Migration 107 took 0.50s!
Migration 108 took 0.50s!
Migration 109 took 0.49s!
Migration 110 took 0.50s!
Migration 111 took 0.46s!
Migration 112 took 0.50s!
Migration 113 took 0.49s!
Migration 114 took 0.49s!
Migration 115 took 0.45s!
Migration 116 took 0.51s!
Migration 117 took 0.50s!
Migration 118 took 0.50s!
Migration 119 took 0.50s!
Migration 120 took 0.50s!
Migration 121 took 0.51s!
Migration 122 took 0.51s!
Migration 123 took 0.49s!
Migration 124 took 0.50s!
Migration 125 took 0.47s!
Migration 126 took 0.50s!
Migration 127 took 0.51s!
Migration 128 took 0.50s!
Migration 129 took 0.52s!
Migration 130 took 0.51s!
Migration 131 took 0.51s!
Migration 132 took 0.50s!
Migration 133 took 0.52s!
Migration 134 took 0.51s!
Migration 135 took 0.51s!
Migration 136 took 0.45s!
Migration 137 took 0.51s!
Migration 138 took 0.51s!
Migration 139 took 0.52s!
Migration 140 took 0.51s!
Migration 141 took 0.52s!
Migration 142 took 0.52s!
Migration 143 took 0.51s!
Migration 144 took 0.52s!
Migration 145 took 0.49s!
Migration 146 took 0.52s!
Migration 147 took 0.48s!
Migration 148 took 0.53s!
Migration 149 took 0.53s!
Migration 150 took 0.52s!
Migration 151 took 0.53s!
Migration 152 took 0.52s!
Migration 153 took 0.52s!
Migration 154 took 0.51s!
Migration 155 took 0.53s!
Migration 156 took 0.52s!
Migration 157 took 0.53s!
Migration 158 took 0.53s!
Migration 159 took 0.53s!
Migration 160 took 0.52s!
Migration 161 took 0.53s!
Migration 162 took 0.53s!
Migration 163 took 0.48s!
Migration 164 took 0.53s!
Migration 165 took 0.54s!
Migration 166 took 0.53s!
Migration 167 took 0.53s!
Migration 168 took 0.53s!
Migration 169 took 0.52s!
Migration 170 took 0.53s!
Migration 171 took 0.53s!
Migration 172 took 0.54s!
Migration 173 took 0.53s!
Migration 174 took 0.50s!
Migration 175 took 0.53s!
Migration 176 took 0.54s!
Migration 177 took 0.55s!
Migration 178 took 0.53s!
Migration 179 took 0.55s!
Migration 180 took 0.52s!
Migration 181 took 0.53s!
Migration 182 took 0.54s!
Migration 183 took 0.55s!
Migration 184 took 0.51s!
Migration 185 took 0.55s!
Migration 186 took 0.55s!
Migration 187 took 0.55s!
Migration 188 took 0.55s!
Migration 189 took 0.55s!
Migration 190 took 0.55s!
Migration 191 took 0.56s!
Migration 192 took 0.54s!
Migration 193 took 0.54s!
Migration 194 took 0.56s!
Migration 195 took 0.56s!
