Starting benchmark...
Initializing database schema...
Populating posts... with 10000
Populating classes...
Inserted 2000 Role in 2.92s (685.09 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.50s (668.89 PUTs/sec)!
Inserted 1000 Class in 1.47s (682.03 PUTs/sec)!
Inserted 10000 Post in 12.33s (811.31 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 0 took 0.09s!
Migration 1 took 0.08s!
Migration 2 took 0.08s!
Migration 3 took 0.08s!
Migration 4 took 0.09s!
Migration 5 took 0.08s!
Migration 6 took 0.08s!
Migration 7 took 0.08s!
Migration 8 took 0.08s!
Migration 9 took 0.09s!
Migration 10 took 0.09s!
Migration 11 took 0.08s!
Migration 12 took 0.08s!
Migration 13 took 0.08s!
Migration 14 took 0.09s!
Migration 15 took 0.09s!
Migration 16 took 0.08s!
Migration 17 took 0.09s!
Migration 18 took 0.08s!
Migration 19 took 0.08s!
Migration 20 took 0.09s!
Migration 21 took 0.08s!
Migration 22 took 0.08s!
Migration 23 took 0.08s!
Migration 24 took 0.09s!
Migration 25 took 0.09s!
Migration 26 took 0.08s!
Migration 27 took 0.09s!
Migration 28 took 0.08s!
Migration 29 took 0.09s!
Migration 30 took 0.08s!
Migration 31 took 0.08s!
Migration 32 took 0.08s!
Migration 33 took 0.08s!
Migration 34 took 0.09s!
Migration 35 took 0.08s!
Migration 36 took 0.08s!
Migration 37 took 0.08s!
Migration 38 took 0.08s!
Migration 39 took 0.08s!
Migration 40 took 0.08s!
Migration 41 took 0.08s!
Migration 42 took 0.08s!
Migration 43 took 0.08s!
Migration 44 took 0.10s!
Migration 45 took 0.08s!
Migration 46 took 0.08s!
Migration 47 took 0.09s!
Migration 48 took 0.09s!
Migration 49 took 0.08s!
Migration 50 took 0.10s!
Migration 51 took 0.09s!
Migration 52 took 0.10s!
Migration 53 took 0.08s!
Migration 54 took 0.08s!
Migration 55 took 0.09s!
Migration 56 took 0.09s!
Migration 57 took 0.09s!
Migration 58 took 0.09s!
Migration 59 took 0.08s!
Migration 60 took 0.09s!
Migration 61 took 0.08s!
Migration 62 took 0.09s!
Migration 63 took 0.09s!
Migration 64 took 0.09s!
Migration 65 took 0.09s!
Migration 66 took 0.11s!
Migration 67 took 0.10s!
Migration 68 took 0.09s!
Migration 69 took 0.09s!
Migration 70 took 0.09s!
Migration 71 took 0.09s!
Migration 72 took 0.10s!
Migration 73 took 0.10s!
