Starting benchmark...
Initializing database schema...
creating new srmap
creating new srmap
Populating classes...
Populating posts... with 1000000
Inserted 11000 Role in 0.01s (769856.24 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 0.00s (363499.03 PUTs/sec)!
Inserted 1000 Class in 0.00s (373201.59 PUTs/sec)!
Inserted 1000000 Post in 3.00s (333693.89 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 212 took 0.19s!
Migration 213 took 0.20s!
Migration 214 took 0.20s!
Migration 215 took 0.20s!
Migration 216 took 0.20s!
Migration 217 took 0.20s!
Migration 218 took 0.20s!
Migration 219 took 0.20s!
Migration 220 took 0.20s!
Migration 221 took 0.20s!
Migration 222 took 0.20s!
Migration 223 took 0.20s!
Migration 224 took 0.20s!
Migration 225 took 0.21s!
Migration 226 took 0.20s!
Migration 227 took 0.20s!
Migration 228 took 0.20s!
Migration 229 took 0.20s!
Migration 230 took 0.20s!
Migration 231 took 0.20s!
Migration 232 took 0.20s!
Migration 233 took 0.20s!
Migration 234 took 0.20s!
Migration 235 took 0.20s!
Migration 236 took 0.21s!
Migration 237 took 0.21s!
Migration 238 took 0.20s!
Migration 239 took 0.21s!
Migration 240 took 0.20s!
Migration 241 took 0.21s!
Migration 242 took 0.21s!
Migration 243 took 0.21s!
Migration 244 took 0.21s!
Migration 245 took 0.21s!
Migration 246 took 0.21s!
Migration 247 took 0.21s!
Migration 248 took 0.21s!
Migration 249 took 0.21s!
Migration 250 took 0.21s!
Migration 251 took 0.21s!
Migration 252 took 0.21s!
Migration 253 took 0.21s!
Migration 254 took 0.21s!
Migration 255 took 0.21s!
Migration 256 took 0.21s!
Migration 257 took 0.21s!
Migration 258 took 0.21s!
Migration 259 took 0.21s!
Migration 260 took 0.22s!
Migration 261 took 0.21s!
Migration 262 took 0.21s!
Migration 263 took 0.22s!
Migration 264 took 0.22s!
Migration 265 took 0.21s!
Migration 266 took 0.21s!
Migration 267 took 0.24s!
Migration 268 took 0.21s!
Migration 269 took 0.21s!
Migration 270 took 0.21s!
Migration 271 took 0.21s!
Migration 272 took 0.22s!
Migration 273 took 0.22s!
Migration 274 took 0.22s!
Migration 275 took 0.22s!
Migration 276 took 0.22s!
Migration 277 took 0.22s!
Migration 278 took 0.22s!
Migration 279 took 0.21s!
Migration 280 took 0.22s!
Migration 281 took 0.22s!
Migration 282 took 0.22s!
Migration 283 took 0.22s!
Migration 284 took 0.22s!
Migration 285 took 0.22s!
Migration 286 took 0.22s!
Migration 287 took 0.22s!
Migration 288 took 0.22s!
Migration 289 took 0.22s!
Migration 290 took 0.22s!
Migration 291 took 0.22s!
Migration 292 took 0.22s!
Migration 293 took 0.22s!
Migration 294 took 0.22s!
Migration 295 took 0.22s!
Migration 296 took 0.22s!
Migration 297 took 0.22s!
Migration 298 took 0.22s!
Migration 299 took 0.22s!
Migration 300 took 0.22s!
Migration 301 took 0.22s!
Migration 302 took 0.22s!
Migration 303 took 0.21s!
Migration 304 took 0.22s!
Migration 305 took 0.22s!
Migration 306 took 0.22s!
Migration 307 took 0.22s!
Migration 308 took 0.23s!
Migration 309 took 0.22s!
Migration 310 took 0.22s!
Migration 311 took 0.22s!
Migration 312 took 0.22s!
Migration 313 took 0.23s!
Migration 314 took 0.22s!
Migration 315 took 0.22s!
Migration 316 took 0.23s!
Migration 317 took 0.22s!
Migration 318 took 0.22s!
Migration 319 took 0.22s!
Migration 320 took 0.22s!
Migration 321 took 0.23s!
Migration 322 took 0.22s!
Migration 323 took 0.22s!
Migration 324 took 0.23s!
Migration 325 took 0.22s!
Migration 326 took 0.22s!
Migration 327 took 0.22s!
Migration 328 took 0.22s!
Migration 329 took 0.23s!
Migration 330 took 0.22s!
Migration 331 took 0.22s!
Migration 332 took 0.22s!
Migration 333 took 0.23s!
Migration 334 took 0.22s!
Migration 335 took 0.22s!
Migration 336 took 0.22s!
Migration 337 took 0.22s!
Migration 338 took 0.22s!
Migration 339 took 0.23s!
Migration 340 took 0.23s!
Migration 341 took 0.22s!
Migration 342 took 0.23s!
Migration 343 took 0.23s!
Migration 344 took 0.23s!
Migration 345 took 0.23s!
Migration 346 took 0.22s!
Migration 347 took 0.23s!
Migration 348 took 0.22s!
Migration 349 took 0.23s!
Migration 350 took 0.23s!
Migration 351 took 0.23s!
Migration 352 took 0.23s!
Migration 353 took 0.24s!
Migration 354 took 0.23s!
Migration 355 took 0.24s!
Migration 356 took 0.23s!
Migration 357 took 0.23s!
Migration 358 took 0.23s!
Migration 359 took 0.23s!
Migration 360 took 0.23s!
Migration 361 took 0.23s!
Migration 362 took 0.24s!
Migration 363 took 0.24s!
Migration 364 took 0.24s!
Migration 365 took 0.23s!
Migration 366 took 0.23s!
Migration 367 took 0.25s!
Migration 368 took 0.23s!
Migration 369 took 0.23s!
Migration 370 took 0.24s!
Migration 371 took 0.23s!
Migration 372 took 0.23s!
Migration 373 took 0.24s!
Migration 374 took 0.23s!
Migration 375 took 0.24s!
Migration 376 took 0.23s!
Migration 377 took 0.24s!
Migration 378 took 0.24s!
Migration 379 took 0.24s!
Migration 380 took 0.24s!
Migration 381 took 0.25s!
Migration 382 took 0.24s!
Migration 383 took 0.23s!
Migration 384 took 0.25s!
Migration 385 took 0.24s!
Migration 386 took 0.24s!
Migration 387 took 0.25s!
Migration 388 took 0.25s!
Migration 389 took 0.27s!
Migration 390 took 0.24s!
Migration 391 took 0.25s!
Migration 392 took 0.24s!
Migration 393 took 0.25s!
Migration 394 took 0.24s!
Migration 395 took 0.25s!
Migration 396 took 0.24s!
Migration 397 took 0.24s!
Migration 398 took 0.25s!
Migration 399 took 0.24s!
Migration 400 took 0.24s!
Migration 401 took 0.25s!
Migration 402 took 0.24s!
Migration 403 took 0.24s!
Migration 404 took 0.25s!
Migration 405 took 0.25s!
Migration 406 took 0.25s!
Migration 407 took 0.24s!
Migration 408 took 0.25s!
Migration 409 took 0.24s!
Migration 410 took 0.24s!
Migration 411 took 0.24s!
Migration 412 took 0.24s!
Migration 413 took 0.25s!
Migration 414 took 0.25s!
Migration 415 took 0.24s!
Migration 416 took 0.26s!
Migration 417 took 0.26s!
Migration 418 took 0.26s!
Migration 419 took 0.25s!
Migration 420 took 0.25s!
Migration 421 took 0.25s!
Migration 422 took 0.24s!
Migration 423 took 0.26s!
Migration 424 took 0.25s!
Migration 425 took 0.25s!
Migration 426 took 0.25s!
Migration 427 took 0.25s!
Migration 428 took 0.26s!
Migration 429 took 0.25s!
Migration 430 took 0.26s!
Migration 431 took 0.25s!
Migration 432 took 0.25s!
Migration 433 took 0.25s!
Migration 434 took 0.25s!
Migration 435 took 0.25s!
Migration 436 took 0.25s!
Migration 437 took 0.25s!
Migration 438 took 0.25s!
Migration 439 took 0.25s!
Migration 440 took 0.25s!
Migration 441 took 0.25s!
Migration 442 took 0.25s!
Migration 443 took 0.25s!
Migration 444 took 0.25s!
Migration 445 took 0.26s!
Migration 446 took 0.25s!
Migration 447 took 0.26s!
Migration 448 took 0.26s!
Migration 449 took 0.26s!
Migration 450 took 0.25s!
Migration 451 took 0.26s!
Migration 452 took 0.26s!
Migration 453 took 0.26s!
Migration 454 took 0.25s!
Migration 455 took 0.26s!
Migration 456 took 0.25s!
Migration 457 took 0.26s!
Migration 458 took 0.25s!
Migration 459 took 0.25s!
Migration 460 took 0.25s!
Migration 461 took 0.26s!
Migration 462 took 0.26s!
Migration 463 took 0.26s!
