Starting benchmark...
Initializing database schema...
Populating posts... with 100000
Populating classes...
Inserted 2000 Role in 2.93s (683.72 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.49s (669.34 PUTs/sec)!
Inserted 1000 Class in 1.45s (687.47 PUTs/sec)!
Inserted 100000 Post in 129.64s (771.35 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 213 took 1.73s!
Migration 214 took 1.72s!
Migration 215 took 1.70s!
Migration 216 took 1.73s!
Migration 217 took 1.75s!
Migration 218 took 1.72s!
Migration 219 took 1.70s!
Migration 220 took 1.74s!
Migration 221 took 1.75s!
Migration 222 took 1.75s!
Migration 223 took 1.72s!
Migration 224 took 1.74s!
Migration 225 took 1.86s!
Migration 226 took 1.74s!
Migration 227 took 1.76s!
Migration 228 took 1.77s!
Migration 229 took 1.76s!
Migration 230 took 1.76s!
Migration 231 took 1.78s!
Migration 232 took 1.76s!
Migration 233 took 1.76s!
Migration 234 took 1.76s!
Migration 235 took 1.77s!
Migration 236 took 1.78s!
Migration 237 took 1.78s!
Migration 238 took 1.79s!
Migration 239 took 1.74s!
Migration 240 took 1.74s!
Migration 241 took 1.77s!
Migration 242 took 1.83s!
Migration 243 took 1.79s!
Migration 244 took 1.81s!
Migration 245 took 1.77s!
Migration 246 took 1.80s!
Migration 247 took 1.78s!
Migration 248 took 1.80s!
Migration 249 took 1.82s!
Migration 250 took 1.85s!
Migration 251 took 1.85s!
Migration 252 took 1.80s!
Migration 253 took 1.82s!
Migration 254 took 1.84s!
Migration 255 took 1.85s!
Migration 256 took 1.84s!
Migration 257 took 1.86s!
Migration 258 took 1.88s!
Migration 259 took 1.85s!
Migration 260 took 1.92s!
Migration 261 took 1.87s!
Migration 262 took 1.86s!
Migration 263 took 1.85s!
Migration 264 took 1.86s!
Migration 265 took 1.86s!
Migration 266 took 1.87s!
Migration 267 took 1.90s!
Migration 268 took 1.88s!
Migration 269 took 1.89s!
Migration 270 took 1.88s!
Migration 271 took 2.00s!
Migration 272 took 1.87s!
Migration 273 took 1.90s!
Migration 274 took 1.94s!
Migration 275 took 1.89s!
Migration 276 took 1.92s!
Migration 277 took 1.92s!
Migration 278 took 1.91s!
Migration 279 took 1.94s!
Migration 280 took 2.00s!
